,precision,recall,f1-score,support
0,0.8571428571428571,0.96,0.9056603773584906,50.0
1,0.8958333333333334,0.86,0.8775510204081632,50.0
2,0.7291666666666666,0.7,0.7142857142857143,50.0
3,0.6037735849056604,0.64,0.6213592233009708,50.0
4,0.8222222222222222,0.74,0.7789473684210526,50.0
5,0.75,0.6,0.6666666666666666,50.0
6,0.8518518518518519,0.92,0.8846153846153846,50.0
7,0.7777777777777778,0.7,0.7368421052631579,50.0
8,0.8490566037735849,0.9,0.8737864077669902,50.0
9,0.8409090909090909,0.74,0.7872340425531915,50.0
10,0.8125,0.78,0.7959183673469388,50.0
11,0.8148148148148148,0.88,0.8461538461538461,50.0
12,0.84,0.84,0.84,50.0
13,0.8723404255319149,0.82,0.845360824742268,50.0
14,0.7959183673469388,0.78,0.7878787878787878,50.0
15,0.8,0.72,0.7578947368421053,50.0
16,0.6595744680851063,0.62,0.6391752577319587,50.0
17,0.86,0.86,0.86,50.0
18,0.5660377358490566,0.6,0.5825242718446602,50.0
19,0.639344262295082,0.78,0.7027027027027027,50.0
20,0.8936170212765957,0.84,0.865979381443299,50.0
21,0.8863636363636364,0.78,0.8297872340425532,50.0
22,0.8888888888888888,0.8,0.8421052631578947,50.0
23,0.7741935483870968,0.96,0.8571428571428571,50.0
24,0.6296296296296297,0.68,0.6538461538461539,50.0
25,0.8363636363636363,0.92,0.8761904761904762,50.0
26,0.8604651162790697,0.74,0.7956989247311828,50.0
27,0.6666666666666666,0.56,0.6086956521739131,50.0
28,0.7407407407407407,0.8,0.7692307692307693,50.0
29,0.6666666666666666,0.6,0.631578947368421,50.0
30,0.5434782608695652,0.5,0.5208333333333334,50.0
31,0.8333333333333334,0.8,0.8163265306122449,50.0
32,0.5172413793103449,0.6,0.5555555555555556,50.0
33,0.6785714285714286,0.76,0.7169811320754716,50.0
34,0.9230769230769231,0.72,0.8089887640449438,50.0
35,0.8297872340425532,0.78,0.8041237113402062,50.0
36,0.9183673469387755,0.9,0.9090909090909091,50.0
37,0.7358490566037735,0.78,0.7572815533980582,50.0
38,0.82,0.82,0.82,50.0
39,0.6842105263157895,0.78,0.7289719626168224,50.0
40,0.717948717948718,0.56,0.6292134831460674,50.0
41,0.7333333333333333,0.66,0.6947368421052632,50.0
42,0.578125,0.74,0.6491228070175439,50.0
43,0.8529411764705882,0.58,0.6904761904761905,50.0
44,0.9791666666666666,0.94,0.9591836734693877,50.0
45,0.88,0.88,0.88,50.0
46,0.5942028985507246,0.82,0.6890756302521008,50.0
47,0.9210526315789473,0.7,0.7954545454545454,50.0
48,0.6326530612244898,0.62,0.6262626262626263,50.0
49,0.5535714285714286,0.62,0.5849056603773585,50.0
50,0.7213114754098361,0.88,0.7927927927927928,50.0
51,0.7678571428571429,0.86,0.8113207547169812,50.0
52,0.8823529411764706,0.9,0.8910891089108911,50.0
53,0.8571428571428571,0.84,0.8484848484848485,50.0
54,0.8333333333333334,0.8,0.8163265306122449,50.0
55,0.82,0.82,0.82,50.0
56,0.6129032258064516,0.76,0.6785714285714286,50.0
57,0.7872340425531915,0.74,0.7628865979381443,50.0
58,0.9333333333333333,0.84,0.8842105263157894,50.0
59,0.7441860465116279,0.64,0.6881720430107527,50.0
60,0.8125,0.78,0.7959183673469388,50.0
61,0.82,0.82,0.82,50.0
62,0.5806451612903226,0.72,0.6428571428571429,50.0
63,0.6842105263157895,0.78,0.7289719626168224,50.0
64,0.4727272727272727,0.52,0.49523809523809526,50.0
65,0.6,0.54,0.5684210526315789,50.0
66,0.8163265306122449,0.8,0.8080808080808081,50.0
67,0.6097560975609756,0.5,0.5494505494505495,50.0
68,0.8409090909090909,0.74,0.7872340425531915,50.0
69,0.6428571428571429,0.72,0.6792452830188679,50.0
70,0.6170212765957447,0.58,0.5979381443298969,50.0
71,0.9555555555555556,0.86,0.9052631578947369,50.0
72,0.6904761904761905,0.58,0.6304347826086957,50.0
73,0.75,0.66,0.7021276595744681,50.0
74,0.7272727272727273,0.8,0.7619047619047619,50.0
75,0.6730769230769231,0.7,0.6862745098039216,50.0
76,0.7272727272727273,0.8,0.7619047619047619,50.0
77,0.6382978723404256,0.6,0.6185567010309279,50.0
78,0.7368421052631579,0.84,0.7850467289719626,50.0
79,0.75,0.48,0.5853658536585366,50.0
80,0.5384615384615384,0.56,0.5490196078431373,50.0
81,0.94,0.94,0.94,50.0
82,0.7169811320754716,0.76,0.7378640776699029,50.0
83,0.7209302325581395,0.62,0.6666666666666666,50.0
84,0.75,0.66,0.7021276595744681,50.0
85,0.5970149253731343,0.8,0.6837606837606838,50.0
86,0.5737704918032787,0.7,0.6306306306306306,50.0
87,0.5074626865671642,0.68,0.5811965811965812,50.0
88,0.7560975609756098,0.62,0.6813186813186813,50.0
89,0.7111111111111111,0.64,0.6736842105263158,50.0
90,0.8333333333333334,0.8,0.8163265306122449,50.0
91,0.8,0.72,0.7578947368421053,50.0
92,0.875,0.7,0.7777777777777778,50.0
93,0.68,0.68,0.68,50.0
94,0.6097560975609756,0.5,0.5494505494505495,50.0
95,0.8947368421052632,0.68,0.7727272727272727,50.0
96,0.7567567567567568,0.56,0.6436781609195402,50.0
97,0.6666666666666666,0.8,0.7272727272727273,50.0
98,0.7708333333333334,0.74,0.7551020408163265,50.0
99,0.7272727272727273,0.48,0.5783132530120482,50.0
100,0.4642857142857143,0.52,0.49056603773584906,50.0
101,0.8260869565217391,0.76,0.7916666666666666,50.0
102,0.6607142857142857,0.74,0.6981132075471698,50.0
103,0.8723404255319149,0.82,0.845360824742268,50.0
104,0.5869565217391305,0.54,0.5625,50.0
105,0.7714285714285715,0.54,0.6352941176470588,50.0
106,0.5862068965517241,0.68,0.6296296296296297,50.0
107,0.7916666666666666,0.76,0.7755102040816326,50.0
108,0.9347826086956522,0.86,0.8958333333333334,50.0
109,0.7368421052631579,0.84,0.7850467289719626,50.0
110,0.8333333333333334,0.8,0.8163265306122449,50.0
111,0.8444444444444444,0.76,0.8,50.0
112,0.7674418604651163,0.66,0.7096774193548387,50.0
113,0.6727272727272727,0.74,0.7047619047619048,50.0
114,0.673469387755102,0.66,0.6666666666666666,50.0
115,0.9318181818181818,0.82,0.8723404255319149,50.0
116,0.7608695652173914,0.7,0.7291666666666666,50.0
117,0.9,0.72,0.8,50.0
118,0.7777777777777778,0.84,0.8076923076923077,50.0
