epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.4663,0.3124,0.8937,0.8926
2,0.2423,0.2784,0.9025,0.9027
3,0.1640,0.2919,0.9013,0.9014
4,0.1059,0.3089,0.9001,0.8996
5,0.0643,0.3824,0.9003,0.8997
6,0.0412,0.4097,0.8982,0.8986
7,0.0302,0.4242,0.8997,0.8995
8,0.0258,0.4582,0.9041,0.9035
9,0.0197,0.4774,0.9041,0.9036
10,0.0180,0.4881,0.9008,0.9004
