,precision,recall,f1-score,support
airplane,0.9585,0.9710,0.9647,1000.0000
automobile,0.9721,0.9740,0.9730,1000.0000
bird,0.9586,0.9490,0.9538,1000.0000
cat,0.9036,0.9280,0.9156,1000.0000
deer,0.9592,0.9630,0.9611,1000.0000
dog,0.9403,0.9140,0.9270,1000.0000
frog,0.9695,0.9870,0.9782,1000.0000
horse,0.9747,0.9640,0.9693,1000.0000
ship,0.9769,0.9730,0.9749,1000.0000
truck,0.9757,0.9650,0.9703,1000.0000
