epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.4441,1.1120,0.6457,0.6404
2,0.9979,0.9714,0.6885,0.6808
3,0.8550,0.9233,0.7021,0.7016
4,0.7374,0.9461,0.7061,0.7007
5,0.6031,0.9922,0.7020,0.6996
6,0.4529,1.0954,0.6915,0.6905
