epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.4843,0.3578,0.8707,0.8699
2,0.2554,0.2931,0.8970,0.8958
3,0.1756,0.3182,0.8996,0.8987
4,0.1162,0.2954,0.9040,0.9043
5,0.0718,0.3582,0.9011,0.9001
6,0.0473,0.3899,0.9056,0.9051
7,0.0364,0.4349,0.9053,0.9047
8,0.0278,0.5026,0.9012,0.9008
9,0.0248,0.4632,0.9021,0.9020
10,0.0207,0.5241,0.9044,0.9039
