epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.4705,1.2079,0.6122,0.6102
2,1.0160,0.9848,0.6826,0.6775
3,0.8694,0.9545,0.6962,0.6934
4,0.7545,0.9583,0.6982,0.6945
5,0.6373,1.0030,0.6953,0.6908
6,0.5124,1.0770,0.6885,0.6858
