epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6223,0.5991,0.6597,0.6596
2,0.4819,0.5156,0.7421,0.7384
3,0.3973,0.4295,0.8023,0.8002
4,0.2534,0.3664,0.8395,0.8386
5,0.1731,0.3743,0.8535,0.8537
6,0.1174,0.4170,0.8538,0.8530
7,0.0676,0.4731,0.8527,0.8518
8,0.0439,0.5833,0.8634,0.8636
