epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.2037,0.9640,0.5936,0.5845
2,0.7804,0.7719,0.7035,0.6763
3,0.6860,0.5481,0.8017,0.7944
4,0.6220,0.7635,0.7071,0.7132
5,0.7224,0.5591,0.7940,0.7875
6,0.6584,0.8070,0.6948,0.6709
7,0.6148,1.1004,0.5293,0.5121
8,0.6024,0.9605,0.5652,0.5066
9,0.6274,0.5433,0.8362,0.8323
10,0.8688,0.8757,0.5514,0.5270
