epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6076,0.4792,0.7696,0.7696
2,0.5506,0.4696,0.7730,0.7711
3,0.4149,0.3875,0.8229,0.8230
4,0.3197,0.5890,0.6685,0.6622
5,0.4179,0.4002,0.8389,0.8390
6,0.2438,0.3801,0.8566,0.8551
7,0.1625,0.3529,0.8715,0.8717
8,0.1114,0.3924,0.8763,0.8760
