epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.5597,0.3589,0.8726,0.8717
2,0.2910,0.3152,0.8905,0.8907
3,0.2244,0.3066,0.8982,0.8978
4,0.1816,0.3114,0.9036,0.9034
5,0.1474,0.3118,0.9009,0.9006
6,0.1187,0.3300,0.8971,0.8972
7,0.0968,0.3523,0.8948,0.8954
8,0.0790,0.3668,0.8958,0.8955
9,0.0628,0.4638,0.8898,0.8890
10,0.0545,0.4408,0.8905,0.8897
