epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.3855,0.2839,0.9051,0.9043
2,0.2063,0.2748,0.9106,0.9106
3,0.1474,0.3177,0.9011,0.9003
4,0.1155,0.3346,0.9046,0.9037
5,0.0943,0.3687,0.9000,0.8999
6,0.0795,0.3798,0.8922,0.8922
7,0.0683,0.4080,0.8978,0.8976
8,0.0639,0.4355,0.8983,0.8978
