epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6339,0.5703,0.7004,0.6925
2,0.5154,0.4811,0.7887,0.7887
3,0.4144,0.4691,0.7784,0.7784
4,0.4083,0.5012,0.7889,0.7882
5,0.3287,0.6065,0.7007,0.6821
6,0.2880,0.4096,0.8364,0.8364
7,0.2254,0.4232,0.8501,0.8500
8,0.1867,0.4958,0.7747,0.7726
