epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.3475,1.0346,0.6719,0.6660
2,0.9305,0.9557,0.6952,0.6910
3,0.7727,0.9488,0.7019,0.6981
4,0.6227,0.9985,0.6970,0.6946
5,0.4654,1.1000,0.6881,0.6868
6,0.3231,1.2398,0.6792,0.6786
